call_id,customer_id,agent_id,ani_hash,dnis,channel,queue_name,start_time,talk_seconds,hold_seconds,disposition_code,wrap_seconds
CALL-00000001,CUST-00001,AGT-0001,6ef80385103dbd95376cd98e7c26ee00805110408d0c47b4aa74a374e71cf2fe,18005551234,voice,SALES-Q,2026-08-01 08:00:00 UTC,60,0,ANSWERED,0
CALL-00000002,CUST-00002,AGT-0002,667f816a5bec7ec46b824c5f0d008c855b181e71d69ea148d4e9febbd573ff66,18005555678,voice,SUPPORT-Q,2026-08-01 08:11:00 UTC,73,7,ANSWERED,5
CALL-00000003,CUST-00003,AGT-0003,f35d91bdb3a0dd8c7e0ca8d3d84c13cd27b0792ccf4f7a2b46f617ee8c492bb3,18885550100,voice,RETENTION-Q,2026-08-01 08:22:00 UTC,86,14,ANSWERED,10
CALL-00000004,CUST-00004,,cf8d80f530a2dad932136e28bef1c49426d60376bd8fe51a582c974661f1a042,18885550200,chat,BILLING-Q,2026-08-01 08:33:00 UTC,0,0,ABANDONED,0
CALL-00000005,CUST-00005,AGT-0005,b6a78f072edbe3e31ec95a806d0ac5188e96cfab8b813d0cff9c4f29acba07a4,18005551234,callback,TECH-Q,2026-08-01 08:44:00 UTC,112,0,TRANSFER,20
CALL-00000006,CUST-00006,,32f1959dc4ae486b3f24a0c743278e69b37cd539962196fd770a98560282f62b,18005555678,voice,SALES-Q,2026-08-01 08:55:00 UTC,0,0,VOICEMAIL,0
CALL-00000007,CUST-00007,AGT-0007,bed48e92e3c5c9593359a909330b9ee659d0f5d86a4a167259281ab26a334d6b,18885550100,voice,SUPPORT-Q,2026-08-01 09:06:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000008,CUST-00008,AGT-0008,40c85fd84f20af89fff64f7985394f328c7a66fefe4e838d9ba028ab13e54298,18885550200,voice,RETENTION-Q,2026-08-01 09:17:00 UTC,151,49,ANSWERED,35
CALL-00000009,CUST-00009,AGT-0009,5de54460a052799c0f8e01ef4d6bcedc068d54a4cb97e70e5170b40304e63558,18005551234,chat,BILLING-Q,2026-08-01 09:28:00 UTC,164,56,ANSWERED,40
CALL-00000010,CUST-00010,AGT-0010,46c5050ad4eaa781f5f9a78a1289435eda4c97528dac931e4f2ed8b5ca5d9482,18005555678,callback,TECH-Q,2026-08-01 09:39:00 UTC,177,63,ANSWERED,45
CALL-00000011,CUST-00011,,2606446328181d344be35e9fa22b391d24394ad2c3265697c34358be76650c4c,18885550100,voice,SALES-Q,2026-08-01 09:50:00 UTC,0,0,ABANDONED,0
CALL-00000012,CUST-00012,AGT-0012,befdd1f3576a42cb02fc23b5ff778275bccda1295e0efceaebbef76789e09b9f,18885550200,voice,SUPPORT-Q,2026-08-01 10:01:00 UTC,203,0,TRANSFER,55
CALL-00000013,CUST-00013,,a38689adb89e261be46e3d246aaf2f39fc3e71370d3e38189de57b0154368e86,18005551234,voice,RETENTION-Q,2026-08-01 10:12:00 UTC,0,0,VOICEMAIL,0
CALL-00000014,CUST-00014,AGT-0014,04b521bf849ef146dd6008d92f1627da3ee5c37815c66904f7d101f8b41fa2f9,18005555678,chat,BILLING-Q,2026-08-01 10:23:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000015,CUST-00015,AGT-0015,7a34b8d38a9abd0a9646c1971e0683cf347705662959479035116911b251627d,18885550100,callback,TECH-Q,2026-08-01 10:34:00 UTC,242,98,ANSWERED,70
CALL-00000016,CUST-00016,AGT-0016,45d3f156f8ed3705b59ec5041712762d0f0f43e51280f69623ea5f79aeef8b8a,18885550200,voice,SALES-Q,2026-08-01 10:45:00 UTC,255,105,ANSWERED,75
CALL-00000017,CUST-00017,AGT-0017,f940e2115d7da0713f090dee70d621b560aee009bde4c82aca27dc898bfe90bd,18005551234,voice,SUPPORT-Q,2026-08-01 10:56:00 UTC,268,112,ANSWERED,80
CALL-00000018,CUST-00018,,2d87838140adb9253f5cefdb391d64e1955a6b1b7bdfa65b72e1e527ce0d22f2,18005555678,voice,RETENTION-Q,2026-08-01 11:07:00 UTC,0,0,ABANDONED,0
CALL-00000019,CUST-00019,AGT-0019,edba846fbb2c425ed30cace164894cfa7c174b58314a86d2aa30626adeb3f111,18885550100,chat,BILLING-Q,2026-08-01 11:18:00 UTC,294,0,TRANSFER,0
CALL-00000020,CUST-00020,,2ec33eef10bf8168e1aef61e54226c9df45ad9443d3c437678229466a75872fe,18885550200,callback,TECH-Q,2026-08-01 11:29:00 UTC,0,0,VOICEMAIL,0
CALL-00000021,CUST-00021,AGT-0021,299d4f5043956a60befdefa7b91b8b3dc7536ddf1df198701ad3b39c3ce6def4,18005551234,voice,SALES-Q,2026-08-01 11:40:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000022,CUST-00022,AGT-0022,d53a9524e425f7a6b74aa0de64250ac2b322a8178fd10343972f9e38fe0461f8,18005555678,voice,SUPPORT-Q,2026-08-01 11:51:00 UTC,333,27,ANSWERED,15
CALL-00000023,CUST-00023,AGT-0023,a1e97ac64784fc39c5229c4f97df773be1ddbe480b23619e95d49b1dd59634be,18885550100,voice,RETENTION-Q,2026-08-01 12:02:00 UTC,346,34,ANSWERED,20
CALL-00000024,CUST-00024,AGT-0024,65e8e193d4edec915d1f70c750eb76f0dabbc6cf98eccdda9e90bf91d69951cc,18885550200,chat,BILLING-Q,2026-08-01 12:13:00 UTC,359,41,ANSWERED,25
CALL-00000025,CUST-00025,,e50598f792521afb508a1661357a685a99ac42a1d5f60a5b4166c289a12c8712,18005551234,callback,TECH-Q,2026-08-01 12:24:00 UTC,0,0,ABANDONED,0
CALL-00000026,CUST-00026,AGT-0026,e9631f0ddf0da25a491e2b0fc7b6be8820f9215efc543962826f9c41054983ac,18005555678,voice,SALES-Q,2026-08-01 12:35:00 UTC,385,0,TRANSFER,35
CALL-00000027,CUST-00027,,781a7c0e3d65e9dfd18153fdae1de57d14f68cdc01798e86f7fc86916ff6f78d,18885550100,voice,SUPPORT-Q,2026-08-01 12:46:00 UTC,0,0,VOICEMAIL,0
CALL-00000028,CUST-00028,AGT-0028,9e51fbc9021b5b1e05f3cf2f83a90bccff508b5d697214c5c4e704358a541900,18885550200,voice,RETENTION-Q,2026-08-01 12:57:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000029,CUST-00029,AGT-0029,66a23adcbcd350d4ca30f0976b55dbf74c60d6923efb65043cbfc00d2b059936,18005551234,chat,BILLING-Q,2026-08-01 13:08:00 UTC,424,76,ANSWERED,50
CALL-00000030,CUST-00030,AGT-0030,f65d51858228d9e12ccf6ea7e8060f6bfc9a6c5c0f7bb8badf0b8bd4e2c93362,18005555678,callback,TECH-Q,2026-08-01 13:19:00 UTC,437,83,ANSWERED,55
CALL-00000031,CUST-00031,AGT-0031,3f1164cf408b2f13f8bf0e9d889e76f20afda0a8f830997cc676d3949022005d,18885550100,voice,SALES-Q,2026-08-01 13:30:00 UTC,450,90,ANSWERED,60
CALL-00000032,CUST-00032,,8700cac26744c86d89cefe9035042f7c2db61596f1fd70aaef8488abf046fe99,18885550200,voice,SUPPORT-Q,2026-08-01 13:41:00 UTC,0,0,ABANDONED,0
CALL-00000033,CUST-00033,AGT-0033,749ba23ba2573ffd45c26932940418edd07158a685368a25926eb90ca864a454,18005551234,voice,RETENTION-Q,2026-08-01 13:52:00 UTC,476,0,TRANSFER,70
CALL-00000034,CUST-00034,,cd0ee9f8126662a7b7b0d3c8659baa8b2c8d563b65b0d88eecd0606cd6c5ab6e,18005555678,chat,BILLING-Q,2026-08-01 14:03:00 UTC,0,0,VOICEMAIL,0
CALL-00000035,CUST-00035,AGT-0035,f3d539dd1330dc5794a3c14559b23a4101e68b563ca31c79a9c090100540be3e,18885550100,callback,TECH-Q,2026-08-01 14:14:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000036,CUST-00036,AGT-0036,2105b2685dceeaa6fb1f4cfdbeb4dd88f5212903c6441411848bc373b0b23d98,18885550200,voice,SALES-Q,2026-08-01 14:25:00 UTC,515,5,ANSWERED,85
CALL-00000037,CUST-00037,AGT-0037,1180341981589bc92011d678ac37ea6b70926edcca27c87eda624f56c562279e,18005551234,voice,SUPPORT-Q,2026-08-01 14:36:00 UTC,528,12,ANSWERED,0
CALL-00000038,CUST-00038,AGT-0038,76da9b2f200463248ec74331c3d92eed1482c43df1309237dcede3cd1826a466,18005555678,voice,RETENTION-Q,2026-08-01 14:47:00 UTC,541,19,ANSWERED,5
CALL-00000039,CUST-00039,,d4f652933537cf53d4803e4ea72ba4424e5ef003f5e0e5c9f9184bcfe2e10b44,18885550100,chat,BILLING-Q,2026-08-01 14:58:00 UTC,0,0,ABANDONED,0
CALL-00000040,CUST-00040,AGT-0040,4bdfbfeba285d7970a731f7736cef00b44e45c697d1a06e70bf3f031a7be93d3,18885550200,callback,TECH-Q,2026-08-01 15:09:00 UTC,567,0,TRANSFER,15
CALL-00000041,CUST-00041,,ca4c68211c096568187f03ca68ff8db084b12fd4881280710231272b9f8ef0f6,18005551234,voice,SALES-Q,2026-08-01 15:20:00 UTC,0,0,VOICEMAIL,0
CALL-00000042,CUST-00042,AGT-0002,c96220bd7ae932452cb04601fcae44a16dacaca8cf07c8fa5c644b10f0e17aab,18005555678,voice,SUPPORT-Q,2026-08-01 15:31:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000043,CUST-00043,AGT-0003,1f6029057a37b8ca51ff213e668b6b8c3938d0f91f140e0f34a15b733441c663,18885550100,voice,RETENTION-Q,2026-08-01 15:42:00 UTC,606,54,ANSWERED,30
CALL-00000044,CUST-00044,AGT-0004,291f4aff96d8467c5256490343079e786f8d8c6008323e170f67feedd57e2684,18885550200,chat,BILLING-Q,2026-08-01 15:53:00 UTC,619,61,ANSWERED,35
CALL-00000045,CUST-00045,AGT-0005,a0b03b877e411452cf2e187b03dbf8b7319cf6688f89eed30c41a3cb9ecdca46,18005551234,callback,TECH-Q,2026-08-01 16:04:00 UTC,632,68,ANSWERED,40
CALL-00000046,CUST-00046,,9402f67c69aaf9f05d56c86904869d87f059627f10e1b7bbbb67c346c6723cb8,18005555678,voice,SALES-Q,2026-08-01 16:15:00 UTC,0,0,ABANDONED,0
CALL-00000047,CUST-00047,AGT-0007,1d8d4c3f288510d636df73ca1f7668c038025eafb59b0433c79fff951e4b90e8,18885550100,voice,SUPPORT-Q,2026-08-01 16:26:00 UTC,658,0,TRANSFER,50
CALL-00000048,CUST-00048,,b7c9e986e3ce7d55c9a17a27bb7e748a4deba6e110f16c621fbfb7c7328d5cad,18885550200,voice,RETENTION-Q,2026-08-01 16:37:00 UTC,0,0,VOICEMAIL,0
CALL-00000049,CUST-00049,AGT-0009,4a18beaca27f46b31e6cb3ddef3fa7bc6e068b6e9ddd624fc351503dc9e55ece,18005551234,chat,BILLING-Q,2026-08-01 16:48:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000050,CUST-00050,AGT-0010,307c8d2cbc9a6c42dde24418aed73d04f375dc9a9d6cd9ad7d6421b51eb2fb6b,18005555678,callback,TECH-Q,2026-08-01 16:59:00 UTC,697,103,ANSWERED,65
CALL-00000051,CUST-00051,AGT-0011,c3952db80568aca0e753d60bf6ddb929fcbf6e1aca4180dc658bb1b014e3c55d,18885550100,voice,SALES-Q,2026-08-01 17:10:00 UTC,710,110,ANSWERED,70
CALL-00000052,CUST-00052,AGT-0012,9e2ba828107c49d0280b2bdc35d626c8c2a3149bd28e16b02d5b3d5e23b4c909,18885550200,voice,SUPPORT-Q,2026-08-01 17:21:00 UTC,723,117,ANSWERED,75
CALL-00000053,CUST-00053,,424a2107fc4054c7c28212713945bcacb5546c5c5a906cdf0553823c3f135abb,18005551234,voice,RETENTION-Q,2026-08-01 17:32:00 UTC,0,0,ABANDONED,0
CALL-00000054,CUST-00054,AGT-0014,26b3be062ca6d3b746b65e0da230d2e85411311d5a049958b9df780f7394263a,18005555678,chat,BILLING-Q,2026-08-01 17:43:00 UTC,749,0,TRANSFER,85
CALL-00000055,CUST-00055,,3629b12f01816fd1183b9dacaac1bafc56ab17423871ba00932cb4d3ac2aa774,18885550100,callback,TECH-Q,2026-08-01 17:54:00 UTC,0,0,VOICEMAIL,0
CALL-00000056,CUST-00056,AGT-0016,dfa77750d66009e662b71bc5c2ab931b1e74a07370d51fed6c50fd2a44d37048,18885550200,voice,SALES-Q,2026-08-01 18:05:00 UTC,0,0,CALLBACK_SCHEDULED,0
CALL-00000057,CUST-00057,AGT-0017,2bbf53441b301d01500546f1956c7ff9516401bf52a5e6170c575a5c25ea6d5a,18005551234,voice,SUPPORT-Q,2026-08-01 18:16:00 UTC,788,32,ANSWERED,10
CALL-00000058,CUST-00058,AGT-0018,d356507c041c7d75e57127027ea32a344c266a1f343b352518e56e4a6beb77a1,18005555678,voice,RETENTION-Q,2026-08-01 18:27:00 UTC,801,39,ANSWERED,15
