customer_id,account_num,party_type,segment,tenure_months,status,email_domain
CUST-00001,ACC-10000000,Individual,Consumer,7,Active,example.com
CUST-00002,ACC-10000001,Organization,SMB,10,Active,mail.test
CUST-00003,ACC-10000002,Individual,Enterprise,13,Active,inbox.demo
CUST-00004,ACC-10000003,Organization,Consumer,16,Suspended,contact.sample
CUST-00005,ACC-10000004,Individual,SMB,19,Closed,example.com
CUST-00006,ACC-10000005,Organization,Enterprise,22,Active,mail.test
CUST-00007,ACC-10000006,Individual,Consumer,25,Active,inbox.demo
CUST-00008,ACC-10000007,Organization,SMB,28,Active,contact.sample
CUST-00009,ACC-10000008,Individual,Enterprise,31,Suspended,example.com
CUST-00010,ACC-10000009,Organization,Consumer,34,Closed,mail.test
CUST-00011,ACC-10000010,Individual,SMB,37,Active,inbox.demo
CUST-00012,ACC-10000011,Organization,Enterprise,40,Active,contact.sample
CUST-00013,ACC-10000012,Individual,Consumer,43,Active,example.com
CUST-00014,ACC-10000013,Organization,SMB,46,Suspended,mail.test
CUST-00015,ACC-10000014,Individual,Enterprise,49,Closed,inbox.demo
CUST-00016,ACC-10000015,Organization,Consumer,52,Active,contact.sample
CUST-00017,ACC-10000016,Individual,SMB,55,Active,example.com
CUST-00018,ACC-10000017,Organization,Enterprise,58,Active,mail.test
CUST-00019,ACC-10000018,Individual,Consumer,61,Suspended,inbox.demo
CUST-00020,ACC-10000019,Organization,SMB,64,Closed,contact.sample
CUST-00021,ACC-10000020,Individual,Enterprise,67,Active,example.com
CUST-00022,ACC-10000021,Organization,Consumer,70,Active,mail.test
CUST-00023,ACC-10000022,Individual,SMB,73,Active,inbox.demo
CUST-00024,ACC-10000023,Organization,Enterprise,76,Suspended,contact.sample
CUST-00025,ACC-10000024,Individual,Consumer,79,Closed,example.com
CUST-00026,ACC-10000025,Organization,SMB,82,Active,mail.test
CUST-00027,ACC-10000026,Individual,Enterprise,85,Active,inbox.demo
CUST-00028,ACC-10000027,Organization,Consumer,88,Active,contact.sample
CUST-00029,ACC-10000028,Individual,SMB,91,Suspended,example.com
CUST-00030,ACC-10000029,Organization,Enterprise,94,Closed,mail.test
CUST-00031,ACC-10000030,Individual,Consumer,97,Active,inbox.demo
