customer_id,region,age_band,plan_tier
CUST-00001,Northeast,18-24,Basic
CUST-00002,Southeast,25-34,Plus
CUST-00003,Midwest,35-44,Premium
CUST-00004,West,45-54,Fiber
CUST-00005,Northeast,55-64,Basic
CUST-00006,Southeast,65+,Plus
CUST-00007,Midwest,18-24,Premium
CUST-00008,West,25-34,Fiber
CUST-00009,Northeast,35-44,Basic
CUST-00010,Southeast,45-54,Plus
CUST-00011,Midwest,55-64,Premium
CUST-00012,West,65+,Fiber
CUST-00013,Northeast,18-24,Basic
CUST-00014,Southeast,25-34,Plus
CUST-00015,Midwest,35-44,Premium
CUST-00016,West,45-54,Fiber
CUST-00017,Northeast,55-64,Basic
CUST-00018,Southeast,65+,Plus
CUST-00019,Midwest,18-24,Premium
CUST-00020,West,25-34,Fiber
CUST-00021,Northeast,35-44,Basic
CUST-00022,Southeast,45-54,Plus
CUST-00023,Midwest,55-64,Premium
CUST-00024,West,65+,Fiber
CUST-00025,Northeast,18-24,Basic
CUST-00026,Southeast,25-34,Plus
CUST-00027,Midwest,35-44,Premium
CUST-00028,West,45-54,Fiber
CUST-00029,Northeast,55-64,Basic
CUST-00030,Southeast,65+,Plus
CUST-00031,Midwest,18-24,Premium
CUST-00032,West,25-34,Fiber
CUST-00033,Northeast,35-44,Basic
CUST-00034,Southeast,45-54,Plus
CUST-00035,Midwest,55-64,Premium
CUST-00036,West,65+,Fiber
CUST-00037,Northeast,18-24,Basic
CUST-00038,Southeast,25-34,Plus
CUST-00039,Midwest,35-44,Premium
CUST-00040,West,45-54,Fiber
CUST-00041,Northeast,55-64,Basic
CUST-00042,Southeast,65+,Plus
CUST-00043,Midwest,18-24,Premium
CUST-00044,West,25-34,Fiber
CUST-00045,Northeast,35-44,Basic
CUST-00046,Southeast,45-54,Plus
CUST-00047,Midwest,55-64,Premium
CUST-00048,West,65+,Fiber
CUST-00049,Northeast,18-24,Basic
CUST-00050,Southeast,25-34,Plus
CUST-00051,Midwest,35-44,Premium
CUST-00052,West,45-54,Fiber
CUST-00053,Northeast,55-64,Basic
CUST-00054,Southeast,65+,Plus
CUST-00055,Midwest,18-24,Premium
CUST-00056,West,25-34,Fiber
CUST-00057,Northeast,35-44,Basic
CUST-00058,Southeast,45-54,Plus
CUST-00059,Midwest,55-64,Premium
CUST-00060,West,65+,Fiber
CUST-00061,Northeast,18-24,Basic
CUST-00062,Southeast,25-34,Plus
CUST-00063,Midwest,35-44,Premium
CUST-00064,West,45-54,Fiber
CUST-00065,Northeast,55-64,Basic
CUST-00066,Southeast,65+,Plus
CUST-00067,Midwest,18-24,Premium
CUST-00068,West,25-34,Fiber
CUST-00069,Northeast,35-44,Basic
CUST-00070,Southeast,45-54,Plus
CUST-00071,Midwest,55-64,Premium
CUST-00072,West,65+,Fiber
CUST-00073,Northeast,18-24,Basic
CUST-00074,Southeast,25-34,Plus
CUST-00075,Midwest,35-44,Premium
CUST-00076,West,45-54,Fiber
CUST-00077,Northeast,55-64,Basic
CUST-00078,Southeast,65+,Plus
CUST-00079,Midwest,18-24,Premium
CUST-00080,West,25-34,Fiber
CUST-00081,Northeast,35-44,Basic
CUST-00082,Southeast,45-54,Plus
CUST-00083,Midwest,55-64,Premium
CUST-00084,West,65+,Fiber
CUST-00085,Northeast,18-24,Basic
CUST-00086,Southeast,25-34,Plus
CUST-00087,Midwest,35-44,Premium
CUST-00088,West,45-54,Fiber
CUST-00089,Northeast,55-64,Basic
CUST-00090,Southeast,65+,Plus
CUST-00091,Midwest,18-24,Premium
CUST-00092,West,25-34,Fiber
CUST-00093,Northeast,35-44,Basic
CUST-00094,Southeast,45-54,Plus
CUST-00095,Midwest,55-64,Premium
CUST-00096,West,65+,Fiber
CUST-00097,Northeast,18-24,Basic
CUST-00098,Southeast,25-34,Plus
CUST-00099,Midwest,35-44,Premium
CUST-00100,West,45-54,Fiber
CUST-00101,Northeast,55-64,Basic
CUST-00102,Southeast,65+,Plus
CUST-00103,Midwest,18-24,Premium
CUST-00104,West,25-34,Fiber
CUST-00105,Northeast,35-44,Basic
CUST-00106,Southeast,45-54,Plus
CUST-00107,Midwest,55-64,Premium
CUST-00108,West,65+,Fiber
CUST-00109,Northeast,18-24,Basic
CUST-00110,Southeast,25-34,Plus
CUST-00111,Midwest,35-44,Premium
CUST-00112,West,45-54,Fiber
CUST-00113,Northeast,55-64,Basic
CUST-00114,Southeast,65+,Plus
CUST-00115,Midwest,18-24,Premium
CUST-00116,West,25-34,Fiber
CUST-00117,Northeast,35-44,Basic
CUST-00118,Southeast,45-54,Plus
CUST-00119,Midwest,55-64,Premium
CUST-00120,West,65+,Fiber
CUST-00121,Northeast,18-24,Basic
CUST-00122,Southeast,25-34,Plus
CUST-00123,Midwest,35-44,Premium
CUST-00124,West,45-54,Fiber
CUST-00125,Northeast,55-64,Basic
CUST-00126,Southeast,65+,Plus
CUST-00127,Midwest,18-24,Premium
CUST-00128,West,25-34,Fiber
CUST-00129,Northeast,35-44,Basic
CUST-00130,Southeast,45-54,Plus
CUST-00131,Midwest,55-64,Premium
CUST-00132,West,65+,Fiber
CUST-00133,Northeast,18-24,Basic
CUST-00134,Southeast,25-34,Plus
CUST-00135,Midwest,35-44,Premium
CUST-00136,West,45-54,Fiber
CUST-00137,Northeast,55-64,Basic
CUST-00138,Southeast,65+,Plus
CUST-00139,Midwest,18-24,Premium
CUST-00140,West,25-34,Fiber
CUST-00141,Northeast,35-44,Basic
CUST-00142,Southeast,45-54,Plus
CUST-00143,Midwest,55-64,Premium
CUST-00144,West,65+,Fiber
CUST-00145,Northeast,18-24,Basic
CUST-00146,Southeast,25-34,Plus
CUST-00147,Midwest,35-44,Premium
CUST-00148,West,45-54,Fiber
