call_id,intent_category,confidence_score,model_version
CALL-00000001,billing,0.55,v1.2.0
CALL-00000002,technical,0.56,v1.2.0
CALL-00000003,cancel,0.57,v1.2.0
CALL-00000004,upgrade,0.58,v1.2.0
CALL-00000005,account_change,0.59,v1.2.0
CALL-00000006,outage,0.6,v1.2.0
CALL-00000007,general_inquiry,0.61,v1.2.0
CALL-00000008,billing,0.62,v1.2.0
CALL-00000009,technical,0.63,v1.2.0
CALL-00000010,cancel,0.64,v1.2.0
CALL-00000011,upgrade,0.65,v1.2.0
CALL-00000012,account_change,0.66,v1.2.0
CALL-00000013,outage,0.67,v1.2.0
CALL-00000014,general_inquiry,0.68,v1.2.0
CALL-00000015,billing,0.69,v1.2.0
CALL-00000016,technical,0.7,v1.2.0
CALL-00000017,cancel,0.71,v1.2.0
CALL-00000018,upgrade,0.72,v1.2.0
CALL-00000019,account_change,0.73,v1.2.0
CALL-00000020,outage,0.74,v1.2.0
CALL-00000021,general_inquiry,0.75,v1.2.0
CALL-00000022,billing,0.76,v1.2.0
CALL-00000023,technical,0.77,v1.2.0
CALL-00000024,cancel,0.78,v1.2.0
CALL-00000025,upgrade,0.79,v1.2.0
CALL-00000026,account_change,0.8,v1.2.0
CALL-00000027,outage,0.81,v1.2.0
CALL-00000028,general_inquiry,0.82,v1.2.0
CALL-00000029,billing,0.83,v1.2.0
CALL-00000030,technical,0.84,v1.2.0
CALL-00000031,cancel,0.85,v1.2.0
CALL-00000032,upgrade,0.86,v1.2.0
CALL-00000033,account_change,0.87,v1.2.0
CALL-00000034,outage,0.88,v1.2.0
CALL-00000035,general_inquiry,0.89,v1.2.0
CALL-00000036,billing,0.9,v1.2.0
CALL-00000037,technical,0.91,v1.2.0
CALL-00000038,cancel,0.92,v1.2.0
CALL-00000039,upgrade,0.93,v1.2.0
CALL-00000040,account_change,0.94,v1.2.0
CALL-00000041,outage,0.95,v1.2.0
CALL-00000042,general_inquiry,0.96,v1.2.0
CALL-00000043,billing,0.97,v1.2.0
CALL-00000044,technical,0.98,v1.2.0
CALL-00000045,cancel,0.99,v1.2.0
CALL-00000046,upgrade,0.55,v1.2.0
CALL-00000047,account_change,0.56,v1.2.0
CALL-00000048,outage,0.57,v1.2.0
CALL-00000049,general_inquiry,0.58,v1.2.0
CALL-00000050,billing,0.59,v1.2.0
CALL-00000051,technical,0.6,v1.2.0
CALL-00000052,cancel,0.61,v1.2.0
CALL-00000053,upgrade,0.62,v1.2.0
CALL-00000054,account_change,0.63,v1.2.0
CALL-00000055,outage,0.64,v1.2.0
CALL-00000056,general_inquiry,0.65,v1.2.0
CALL-00000057,billing,0.66,v1.2.0
CALL-00000058,technical,0.67,v1.2.0
CALL-00000059,cancel,0.68,v1.2.0
CALL-00000060,upgrade,0.69,v1.2.0
CALL-00000061,account_change,0.7,v1.2.0
CALL-00000062,outage,0.71,v1.2.0
CALL-00000063,general_inquiry,0.72,v1.2.0
CALL-00000064,billing,0.73,v1.2.0
CALL-00000065,technical,0.74,v1.2.0
CALL-00000066,cancel,0.75,v1.2.0
CALL-00000067,upgrade,0.76,v1.2.0
CALL-00000068,account_change,0.77,v1.2.0
CALL-00000069,outage,0.78,v1.2.0
CALL-00000070,general_inquiry,0.79,v1.2.0
CALL-00000071,billing,0.8,v1.2.0
CALL-00000072,technical,0.81,v1.2.0
CALL-00000073,cancel,0.82,v1.2.0
CALL-00000074,upgrade,0.83,v1.2.0
CALL-00000075,account_change,0.84,v1.2.0
CALL-00000076,outage,0.85,v1.2.0
CALL-00000077,general_inquiry,0.86,v1.2.0
CALL-00000078,billing,0.87,v1.2.0
CALL-00000079,technical,0.88,v1.2.0
CALL-00000080,cancel,0.89,v1.2.0
CALL-00000081,upgrade,0.9,v1.2.0
CALL-00000082,account_change,0.91,v1.2.0
CALL-00000083,outage,0.92,v1.2.0
CALL-00000084,general_inquiry,0.93,v1.2.0
CALL-00000085,billing,0.94,v1.2.0
CALL-00000086,technical,0.95,v1.2.0
CALL-00000087,cancel,0.96,v1.2.0
CALL-00000088,upgrade,0.97,v1.2.0
CALL-00000089,account_change,0.98,v1.2.0
CALL-00000090,outage,0.99,v1.2.0
CALL-00000091,general_inquiry,0.55,v1.2.0
CALL-00000092,billing,0.56,v1.2.0
CALL-00000093,technical,0.57,v1.2.0
CALL-00000094,cancel,0.58,v1.2.0
CALL-00000095,upgrade,0.59,v1.2.0
CALL-00000096,account_change,0.6,v1.2.0
CALL-00000097,outage,0.61,v1.2.0
CALL-00000098,general_inquiry,0.62,v1.2.0
CALL-00000099,billing,0.63,v1.2.0
CALL-00000100,technical,0.64,v1.2.0
CALL-00000101,cancel,0.65,v1.2.0
CALL-00000102,upgrade,0.66,v1.2.0
CALL-00000103,account_change,0.67,v1.2.0
CALL-00000104,outage,0.68,v1.2.0
CALL-00000105,general_inquiry,0.69,v1.2.0
CALL-00000106,billing,0.7,v1.2.0
CALL-00000107,technical,0.71,v1.2.0
CALL-00000108,cancel,0.72,v1.2.0
CALL-00000109,upgrade,0.73,v1.2.0
CALL-00000110,account_change,0.74,v1.2.0
CALL-00000111,outage,0.75,v1.2.0
CALL-00000112,general_inquiry,0.76,v1.2.0
CALL-00000113,billing,0.77,v1.2.0
CALL-00000114,technical,0.78,v1.2.0
CALL-00000115,cancel,0.79,v1.2.0
CALL-00000116,upgrade,0.8,v1.2.0
CALL-00000117,account_change,0.81,v1.2.0
CALL-00000118,outage,0.82,v1.2.0
CALL-00000119,general_inquiry,0.83,v1.2.0
CALL-00000120,billing,0.84,v1.2.0
CALL-00000121,technical,0.85,v1.2.0
CALL-00000122,cancel,0.86,v1.2.0
CALL-00000123,upgrade,0.87,v1.2.0
CALL-00000124,account_change,0.88,v1.2.0
CALL-00000125,outage,0.89,v1.2.0
CALL-00000126,general_inquiry,0.9,v1.2.0
CALL-00000127,billing,0.91,v1.2.0
CALL-00000128,technical,0.92,v1.2.0
CALL-00000129,cancel,0.93,v1.2.0
CALL-00000130,upgrade,0.94,v1.2.0
CALL-00000131,account_change,0.95,v1.2.0
CALL-00000132,outage,0.96,v1.2.0
CALL-00000133,general_inquiry,0.97,v1.2.0
CALL-00000134,billing,0.98,v1.2.0
CALL-00000135,technical,0.99,v1.2.0
CALL-00000136,cancel,0.55,v1.2.0
CALL-00000137,upgrade,0.56,v1.2.0
CALL-00000138,account_change,0.57,v1.2.0
CALL-00000139,outage,0.58,v1.2.0
CALL-00000140,general_inquiry,0.59,v1.2.0
CALL-00000141,billing,0.6,v1.2.0
CALL-00000142,technical,0.61,v1.2.0
CALL-00000143,cancel,0.62,v1.2.0
CALL-00000144,upgrade,0.63,v1.2.0
CALL-00000145,account_change,0.64,v1.2.0
CALL-00000146,outage,0.65,v1.2.0
CALL-00000147,general_inquiry,0.66,v1.2.0
CALL-00000148,billing,0.67,v1.2.0
CALL-00000149,technical,0.68,v1.2.0
CALL-00000150,cancel,0.69,v1.2.0
CALL-00000151,upgrade,0.7,v1.2.0
CALL-00000152,account_change,0.71,v1.2.0
CALL-00000153,outage,0.72,v1.2.0
CALL-00000154,general_inquiry,0.73,v1.2.0
CALL-00000155,billing,0.74,v1.2.0
CALL-00000156,technical,0.75,v1.2.0
CALL-00000157,cancel,0.76,v1.2.0
CALL-00000158,upgrade,0.77,v1.2.0
CALL-00000159,account_change,0.78,v1.2.0
CALL-00000160,outage,0.79,v1.2.0
CALL-00000161,general_inquiry,0.8,v1.2.0
CALL-00000162,billing,0.81,v1.2.0
CALL-00000163,technical,0.82,v1.2.0
CALL-00000164,cancel,0.83,v1.2.0
CALL-00000165,upgrade,0.84,v1.2.0
CALL-00000166,account_change,0.85,v1.2.0
CALL-00000167,outage,0.86,v1.2.0
CALL-00000168,general_inquiry,0.87,v1.2.0
CALL-00000169,billing,0.88,v1.2.0
CALL-00000170,technical,0.89,v1.2.0
CALL-00000171,cancel,0.9,v1.2.0
CALL-00000172,upgrade,0.91,v1.2.0
CALL-00000173,account_change,0.92,v1.2.0
CALL-00000174,outage,0.93,v1.2.0
CALL-00000175,general_inquiry,0.94,v1.2.0
CALL-00000176,billing,0.95,v1.2.0
CALL-00000177,technical,0.96,v1.2.0
CALL-00000178,cancel,0.97,v1.2.0
CALL-00000179,upgrade,0.98,v1.2.0
CALL-00000180,account_change,0.99,v1.2.0
CALL-00000181,outage,0.55,v1.2.0
CALL-00000182,general_inquiry,0.56,v1.2.0
CALL-00000183,billing,0.57,v1.2.0
CALL-00000184,technical,0.58,v1.2.0
CALL-00000185,cancel,0.59,v1.2.0
CALL-00000186,upgrade,0.6,v1.2.0
CALL-00000187,account_change,0.61,v1.2.0
CALL-00000188,outage,0.62,v1.2.0
CALL-00000189,general_inquiry,0.63,v1.2.0
CALL-00000190,billing,0.64,v1.2.0
CALL-00000191,technical,0.65,v1.2.0
CALL-00000192,cancel,0.66,v1.2.0
CALL-00000193,upgrade,0.67,v1.2.0
CALL-00000194,account_change,0.68,v1.2.0
CALL-00000195,outage,0.69,v1.2.0
CALL-00000196,general_inquiry,0.7,v1.2.0
CALL-00000197,billing,0.71,v1.2.0
CALL-00000198,technical,0.72,v1.2.0
CALL-00000199,cancel,0.73,v1.2.0
CALL-00000200,upgrade,0.74,v1.2.0
CALL-00000201,account_change,0.75,v1.2.0
CALL-00000202,outage,0.76,v1.2.0
CALL-00000203,general_inquiry,0.77,v1.2.0
CALL-00000204,billing,0.78,v1.2.0
CALL-00000205,technical,0.79,v1.2.0
CALL-00000206,cancel,0.8,v1.2.0
CALL-00000207,upgrade,0.81,v1.2.0
CALL-00000208,account_change,0.82,v1.2.0
CALL-00000209,outage,0.83,v1.2.0
CALL-00000210,general_inquiry,0.84,v1.2.0
CALL-00000211,billing,0.85,v1.2.0
CALL-00000212,technical,0.86,v1.2.0
CALL-00000213,cancel,0.87,v1.2.0
CALL-00000214,upgrade,0.88,v1.2.0
CALL-00000215,account_change,0.89,v1.2.0
CALL-00000216,outage,0.9,v1.2.0
CALL-00000217,general_inquiry,0.91,v1.2.0
CALL-00000218,billing,0.92,v1.2.0
CALL-00000219,technical,0.93,v1.2.0
CALL-00000220,cancel,0.94,v1.2.0
CALL-00000221,upgrade,0.95,v1.2.0
CALL-00000222,account_change,0.96,v1.2.0
CALL-00000223,outage,0.97,v1.2.0
CALL-00000224,general_inquiry,0.98,v1.2.0
CALL-00000225,billing,0.99,v1.2.0
CALL-00000226,technical,0.55,v1.2.0
CALL-00000227,cancel,0.56,v1.2.0
CALL-00000228,upgrade,0.57,v1.2.0
CALL-00000229,account_change,0.58,v1.2.0
CALL-00000230,outage,0.59,v1.2.0
CALL-00000231,general_inquiry,0.6,v1.2.0
CALL-00000232,billing,0.61,v1.2.0
CALL-00000233,technical,0.62,v1.2.0
CALL-00000234,cancel,0.63,v1.2.0
CALL-00000235,upgrade,0.64,v1.2.0
CALL-00000236,account_change,0.65,v1.2.0
CALL-00000237,outage,0.66,v1.2.0
CALL-00000238,general_inquiry,0.67,v1.2.0
CALL-00000239,billing,0.68,v1.2.0
CALL-00000240,technical,0.69,v1.2.0
CALL-00000241,cancel,0.7,v1.2.0
CALL-00000242,upgrade,0.71,v1.2.0
CALL-00000243,account_change,0.72,v1.2.0
CALL-00000244,outage,0.73,v1.2.0
CALL-00000245,general_inquiry,0.74,v1.2.0
CALL-00000246,billing,0.75,v1.2.0
CALL-00000247,technical,0.76,v1.2.0
CALL-00000248,cancel,0.77,v1.2.0
CALL-00000249,upgrade,0.78,v1.2.0
CALL-00000250,account_change,0.79,v1.2.0
CALL-00000251,outage,0.8,v1.2.0
CALL-00000252,general_inquiry,0.81,v1.2.0
CALL-00000253,billing,0.82,v1.2.0
CALL-00000254,technical,0.83,v1.2.0
CALL-00000255,cancel,0.84,v1.2.0
CALL-00000256,upgrade,0.85,v1.2.0
CALL-00000257,account_change,0.86,v1.2.0
CALL-00000258,outage,0.87,v1.2.0
CALL-00000259,general_inquiry,0.88,v1.2.0
CALL-00000260,billing,0.89,v1.2.0
CALL-00000261,technical,0.9,v1.2.0
CALL-00000262,cancel,0.91,v1.2.0
CALL-00000263,upgrade,0.92,v1.2.0
CALL-00000264,account_change,0.93,v1.2.0
CALL-00000265,outage,0.94,v1.2.0
CALL-00000266,general_inquiry,0.95,v1.2.0
CALL-00000267,billing,0.96,v1.2.0
CALL-00000268,technical,0.97,v1.2.0
CALL-00000269,cancel,0.98,v1.2.0
CALL-00000270,upgrade,0.99,v1.2.0
CALL-00000271,account_change,0.55,v1.2.0
CALL-00000272,outage,0.56,v1.2.0
CALL-00000273,general_inquiry,0.57,v1.2.0
CALL-00000274,billing,0.58,v1.2.0
CALL-00000275,technical,0.59,v1.2.0
CALL-00000276,cancel,0.6,v1.2.0
CALL-00000277,upgrade,0.61,v1.2.0
CALL-00000278,account_change,0.62,v1.2.0
CALL-00000279,outage,0.63,v1.2.0
CALL-00000280,general_inquiry,0.64,v1.2.0
CALL-00000281,billing,0.65,v1.2.0
CALL-00000282,technical,0.66,v1.2.0
CALL-00000283,cancel,0.67,v1.2.0
CALL-00000284,upgrade,0.68,v1.2.0
CALL-00000285,account_change,0.69,v1.2.0
CALL-00000286,outage,0.7,v1.2.0
CALL-00000287,general_inquiry,0.71,v1.2.0
CALL-00000288,billing,0.72,v1.2.0
CALL-00000289,technical,0.73,v1.2.0
CALL-00000290,cancel,0.74,v1.2.0
CALL-00000291,upgrade,0.75,v1.2.0
CALL-00000292,account_change,0.76,v1.2.0
CALL-00000293,outage,0.77,v1.2.0
CALL-00000294,general_inquiry,0.78,v1.2.0
CALL-00000295,billing,0.79,v1.2.0
CALL-00000296,technical,0.8,v1.2.0
CALL-00000297,cancel,0.81,v1.2.0
CALL-00000298,upgrade,0.82,v1.2.0
CALL-00000299,account_change,0.83,v1.2.0
CALL-00000300,outage,0.84,v1.2.0
CALL-00000301,general_inquiry,0.85,v1.2.0
CALL-00000302,billing,0.86,v1.2.0
CALL-00000303,technical,0.87,v1.2.0
CALL-00000304,cancel,0.88,v1.2.0
CALL-00000305,upgrade,0.89,v1.2.0
CALL-00000306,account_change,0.9,v1.2.0
CALL-00000307,outage,0.91,v1.2.0
CALL-00000308,general_inquiry,0.92,v1.2.0
CALL-00000309,billing,0.93,v1.2.0
CALL-00000310,technical,0.94,v1.2.0
CALL-00000311,cancel,0.95,v1.2.0
CALL-00000312,upgrade,0.96,v1.2.0
CALL-00000313,account_change,0.97,v1.2.0
CALL-00000314,outage,0.98,v1.2.0
CALL-00000315,general_inquiry,0.99,v1.2.0
CALL-00000316,billing,0.55,v1.2.0
CALL-00000317,technical,0.56,v1.2.0
CALL-00000318,cancel,0.57,v1.2.0
CALL-00000319,upgrade,0.58,v1.2.0
CALL-00000320,account_change,0.59,v1.2.0
CALL-00000321,outage,0.6,v1.2.0
CALL-00000322,general_inquiry,0.61,v1.2.0
CALL-00000323,billing,0.62,v1.2.0
CALL-00000324,technical,0.63,v1.2.0
CALL-00000325,cancel,0.64,v1.2.0
CALL-00000326,upgrade,0.65,v1.2.0
CALL-00000327,account_change,0.66,v1.2.0
CALL-00000328,outage,0.67,v1.2.0
CALL-00000329,general_inquiry,0.68,v1.2.0
CALL-00000330,billing,0.69,v1.2.0
CALL-00000331,technical,0.7,v1.2.0
CALL-00000332,cancel,0.71,v1.2.0
CALL-00000333,upgrade,0.72,v1.2.0
CALL-00000334,account_change,0.73,v1.2.0
CALL-00000335,outage,0.74,v1.2.0
CALL-00000336,general_inquiry,0.75,v1.2.0
CALL-00000337,billing,0.76,v1.2.0
CALL-00000338,technical,0.77,v1.2.0
CALL-00000339,cancel,0.78,v1.2.0
CALL-00000340,upgrade,0.79,v1.2.0
CALL-00000341,account_change,0.8,v1.2.0
CALL-00000342,outage,0.81,v1.2.0
CALL-00000343,general_inquiry,0.82,v1.2.0
CALL-00000344,billing,0.83,v1.2.0
CALL-00000345,technical,0.84,v1.2.0
CALL-00000346,cancel,0.85,v1.2.0
CALL-00000347,upgrade,0.86,v1.2.0
CALL-00000348,account_change,0.87,v1.2.0
CALL-00000349,outage,0.88,v1.2.0
CALL-00000350,general_inquiry,0.89,v1.2.0
CALL-00000351,billing,0.9,v1.2.0
CALL-00000352,technical,0.91,v1.2.0
CALL-00000353,cancel,0.92,v1.2.0
CALL-00000354,upgrade,0.93,v1.2.0
