offer_event_id,call_id,offer_id,campaign,response,revenue_usd
OFF-000001,CALL-00000001,OFR-001,RETENTION_2026,Accepted,15.0
OFF-000002,CALL-00000002,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000003,CALL-00000003,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000004,CALL-00000004,OFR-004,LOYALTY_RENEW,Accepted,52.5
OFF-000005,CALL-00000005,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000006,CALL-00000006,OFR-001,RETENTION_2026,No Response,0.0
OFF-000007,CALL-00000007,OFR-002,UPSELL_FIBER,Accepted,90.0
OFF-000008,CALL-00000008,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000009,CALL-00000009,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000010,CALL-00000010,OFR-005,PREMIUM_UPGRADE,Accepted,27.5
OFF-000011,CALL-00000011,OFR-001,RETENTION_2026,Declined,0.0
OFF-000012,CALL-00000012,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000013,CALL-00000013,OFR-003,ADD_LINE_Q3,Accepted,65.0
OFF-000014,CALL-00000014,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000015,CALL-00000015,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000016,CALL-00000016,OFR-001,RETENTION_2026,Accepted,102.5
OFF-000017,CALL-00000017,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000018,CALL-00000018,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000019,CALL-00000019,OFR-004,LOYALTY_RENEW,Accepted,40.0
OFF-000020,CALL-00000020,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000021,CALL-00000021,OFR-001,RETENTION_2026,No Response,0.0
OFF-000022,CALL-00000022,OFR-002,UPSELL_FIBER,Accepted,77.5
OFF-000023,CALL-00000023,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000024,CALL-00000024,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000025,CALL-00000025,OFR-005,PREMIUM_UPGRADE,Accepted,15.0
OFF-000026,CALL-00000026,OFR-001,RETENTION_2026,Declined,0.0
OFF-000027,CALL-00000027,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000028,CALL-00000028,OFR-003,ADD_LINE_Q3,Accepted,52.5
OFF-000029,CALL-00000029,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000030,CALL-00000030,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000031,CALL-00000031,OFR-001,RETENTION_2026,Accepted,90.0
OFF-000032,CALL-00000032,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000033,CALL-00000033,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000034,CALL-00000034,OFR-004,LOYALTY_RENEW,Accepted,27.5
OFF-000035,CALL-00000035,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000036,CALL-00000036,OFR-001,RETENTION_2026,No Response,0.0
OFF-000037,CALL-00000037,OFR-002,UPSELL_FIBER,Accepted,65.0
OFF-000038,CALL-00000038,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000039,CALL-00000039,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000040,CALL-00000040,OFR-005,PREMIUM_UPGRADE,Accepted,102.5
OFF-000041,CALL-00000041,OFR-001,RETENTION_2026,Declined,0.0
OFF-000042,CALL-00000042,OFR-002,UPSELL_FIBER,No Response,0.0
OFF-000043,CALL-00000043,OFR-003,ADD_LINE_Q3,Accepted,40.0
OFF-000044,CALL-00000044,OFR-004,LOYALTY_RENEW,Declined,0.0
OFF-000045,CALL-00000045,OFR-005,PREMIUM_UPGRADE,No Response,0.0
OFF-000046,CALL-00000046,OFR-001,RETENTION_2026,Accepted,77.5
OFF-000047,CALL-00000047,OFR-002,UPSELL_FIBER,Declined,0.0
OFF-000048,CALL-00000048,OFR-003,ADD_LINE_Q3,No Response,0.0
OFF-000049,CALL-00000049,OFR-004,LOYALTY_RENEW,Accepted,15.0
OFF-000050,CALL-00000050,OFR-005,PREMIUM_UPGRADE,Declined,0.0
OFF-000051,CALL-00000051,OFR-001,RETENTION_2026,No Response,0.0
OFF-000052,CALL-00000052,OFR-002,UPSELL_FIBER,Accepted,52.5
OFF-000053,CALL-00000053,OFR-003,ADD_LINE_Q3,Declined,0.0
OFF-000054,CALL-00000054,OFR-004,LOYALTY_RENEW,No Response,0.0
OFF-000055,CALL-00000055,OFR-005,PREMIUM_UPGRADE,Accepted,90.0
